gene,length,gc_percent,at_percent,longest_orf_bp,protein_len_aa
NM_001101.5,1812,55.19,44.81,1128,375
NM_007294.4,7088,41.77,58.23,5592,1863
seq1,7,42.86,57.14,0,0
seq2,11,45.45,54.55,0,0
NM_000546.6,2512,53.38,46.62,1182,393
